Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Duarte, A Carolina; Guerra, Carlos A; Cano-Díaz, Concha; Zeiss, Romy; Carvalho-Santos, Cláudia; Carvalho, Rui P; Costa, Sofia R; ",Effects of protected areas on soil nematode communities in forests of the North of Portugal,Biodiversity and Conservation,33,1,73-89,2024,Springer Netherlands Dordrecht
"Zeiss, Romy; Briones, Maria JI; Mathieu, Jérome; Lomba, Angela; Dahlke, Jessica; Heptner, Laura‐Fiona; Salako, Gabriel; Eisenhauer, Nico; Guerra, Carlos A; ",Effects of climate on the distribution and conservation of commonly observed European earthworms,Conservation Biology,38,2,e14187,2024,
"Chen, Zihao; Ni, Xiangyin; Patoine, Guillaume; Peng, Changhui; Yue, Kai; Yuan, Ji; Wu, Qiuxia; Eisenhauer, Nico; Guerra, Carlos A; Bol, Roland; ",Climate warming accelerates carbon release from foliar litter—A global synthesis,Global Change Biology,30,5,e17350,2024,Wiley Online Library
"Pereira, Henrique M; Martins, Inês S; Rosa, Isabel MD; Kim, HyeJin; Leadley, Paul; Popp, Alexander; van Vuuren, Detlef P; Hurtt, George; Quoss, Luise; Arneth, Almut; ",Global trends and scenarios for terrestrial biodiversity and ecosystem services from 1900 to 2050,Science,384,6694,458-465,2024,American Association for the Advancement of Science
