Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Potapov, Anton M; Guerra, Carlos A; Van den Hoogen, Johan; Babenko, Anatoly; Bellini, Bruno C; Berg, Matty P; Chown, Steven L; Deharveng, Louis; Kováč, Ľubomír; Kuznetsova, Natalia A; ",Globally invariant metabolism but density-diversity mismatch in springtails,Nature Communications,14,1,674,2023,Nature Publishing Group UK London
"Eldridge, David J; Guirado, Emilio; Reich, Peter B; Ochoa-Hueso, Raúl; Berdugo, Miguel; Sáez-Sandino, Tadeo; Blanco-Pastor, José L; Tedersoo, Leho; Plaza, César; Ding, Jingyi; ",The global contribution of soil mosses to ecosystem services,Nature Geoscience,16,5,430-438,2023,Nature Publishing Group UK London
"Eisenhauer, Nico; Angst, Gerrit; Asato, Ana EB; Beugnon, Rémy; Bönisch, Elisabeth; Cesarz, Simone; Dietrich, Peter; Jurburg, Stephanie D; Madaj, Anna-Maria; Reuben, Rine C; ",The heterogeneity–diversity–system performance nexus,National Science Review,10,7,nwad109,2023,Oxford University Press
"Siles, José A; Vera, Alfonso; Díaz-López, Marta; García, Carlos; van den Hoogen, Johan; Crowther, Thomas W; Eisenhauer, Nico; Guerra, Carlos; Jones, Arwyn; Orgiazzi, Alberto; ",Land-use-and climate-mediated variations in soil bacterial and fungal biomass across Europe and their driving factors,Geoderma,434,,116474,2023,Elsevier
"Cano-Díaz, Concha; Zeiss, Romy; Carvalho-Santos, Claudia; Carvalho, Rui P; Costa, Sofia R; Duarte, A Carolina; Fernandes, Paulo; Guerra, Carlos A; ",Mapping socio-environmental pressures to assess Portuguese soil vulnerability,Applied Geography,161,,103103,2023,Elsevier
"Gonzalez, Andrew; Vihervaara, Petteri; Balvanera, Patricia; Bates, Amanda E; Bayraktarov, Elisa; Bellingham, Peter J; Bruder, Andreas; Campbell, Jillian; Catchen, Michael D; Cavender-Bares, Jeannine; ",A global biodiversity observing system to unite monitoring and guide action,Nature ecology & evolution,7,12,1947-1952,2023,Nature Publishing Group UK London
"Eisenhauer, Nico; Ochoa-Hueso, Raúl; Huang, Yuanyuan; Barry, Kathryn E; Gebler, Alban; Guerra, Carlos A; Hines, Jes; Jochum, Malte; Andraczek, Karl; Bucher, Solveig Franziska; ",Ecosystem consequences of invertebrate decline,Current Biology,33,20,4538-4547. e5,2023,Elsevier
"Zeiss, R; Briones, MJI; Mathieu, J; Lomba, A; Dahlke, J; Heptner, LF; Salako, G; Eisenhauer, N; Guerra, CA; ",Climate effects on the distribution and conservation of commonly observed European earthworms.,Conservation Biology: the Journal of the Society for Conservation Biology,,,,2023,
"Hennecke, Justus; Bassi, Leonardo; Mommer, Liesje; Albracht, Cynthia; Bergmann, Joana; Eisenhauer, Nico; Guerra, Carlos A; Heintz‐Buschart, Anna; Kuyper, Thomas W; Lange, Markus; ",Responses of rhizosphere fungi to the root economics space in grassland monocultures of different age,New Phytologist,240,5,2035-2049,2023,Wiley Online Library
"Siles Martos, José Antonio; Vera Ayala, Alfonso; Díaz-López, Marta; García, Carlos; Hoogen, Johan van den; Crowther, Thomas Ward; Eisenhauer, Nico; Guerra, Carlos A; Jones, Arwyn; Orgiazzi, Alberto; ",Land-use-and climate-mediated variations in soil bacterial and fungal biomass across Europe and their driving factors,,,,,2023,Elsevier
"Romero, Ferran; Labouyrie, Maeva; Orgiazzi, Alberto; Ballabio, Cristiano; Panagos, Panos; Jones, Arwyn; Tedersoo, Leho; Bahram, Mohammad; Guerra, Carlos A; Eisenhauer, Nico; ",Soil health increases primary productivity across Europe,bioRxiv,,,2023.10. 29.564603,2023,Cold Spring Harbor Laboratory
"Sünnemann, Marie; Beugnon, Remy; Breitkreuz, Claudia; Buscot, François; Cesarz, Simone; Jones, Arwyn; Lehmann, Anika; Lochner, Alfred; Orgiazzi, Alberto; Reitz, Thomas; ",Climate change and cropland management compromise soil integrity and multifunctionality,Communications Earth & Environment,4,1,394,2023,Nature Publishing Group UK London
