Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Perino, Andrea; Pereira, Henrique M; Felipe‐Lucia, Maria; Kim, HyeJin; Kühl, Hjalmar S; Marselle, Melissa R; Meya, Jasper N; Meyer, Carsten; Navarro, Laetitia M; van Klink, Roel; ",Biodiversity post‐2020: Closing the gap between global targets and national‐level implementation,Conservation Letters,15,2,e12848,2022,
"Feng, Youzhi; Zhang, Jianwei; Berdugo, Miguel; Guirado, Emilio; Guerra, Carlos A; Egidi, Eleonora; Wang, Juntao; Singh, Brajesh K; Delgado‐Baquerizo, Manuel; ",Temperature thresholds drive the global distribution of soil fungal decomposers,Global Change Biology,28,8,2779-2789,2022,
"Siles, José A; Díaz‐López, Marta; Vera, Alfonso; Eisenhauer, Nico; Guerra, Carlos A; Smith, Linnea C; Buscot, François; Reitz, Thomas; Breitkreuz, Claudia; van den Hoogen, Johan; ",Priming effects in soils across Europe,Global Change Biology,28,6,2146-2157,2022,
"Xu, Shan; Eisenhauer, Nico; Pellegrini, Adam FA; Wang, Junjian; Certini, Giacomo; Guerra, Carlos A; Lai, Derrick YF; ",Fire frequency and type regulate the response of soil carbon cycling and storage to fire across soil depths and ecosystems: A meta-analysis,Science of the Total Environment,825,,153921,2022,Elsevier
"Zeiss, Romy; Eisenhauer, Nico; Orgiazzi, Alberto; Rillig, Matthias; Buscot, François; Jones, Arwyn; Lehmann, Anika; Reitz, Thomas; Smith, Linnea; Guerra, Carlos A; ",Challenges of and opportunities for protecting European soil biodiversity,Conservation Biology,36,5,e13930,2022,
"Patoine, Guillaume; Eisenhauer, Nico; Cesarz, Simone; Phillips, Helen RP; Xu, Xiaofeng; Zhang, Lihua; Guerra, Carlos A; ",Drivers and trends of global soil microbial carbon over two decades,Nature Communications,13,1,4195,2022,Nature Publishing Group UK London
"Mathieu, Jérôme; Antunes, Ana C; Barot, Sébastien; Bonato Asato, Ana E; Bartz, Marie LC; Brown, George G; Calderon-Sanou, Irene; Decaëns, Thibaud; Fonte, Steven J; Ganault, Pierre; ",sOilFauna-a global synthesis effort on the drivers of soil macrofauna communities and functioning,,,,,2022,
"Potapov, Anton M; Sun, Xin; Briones, Maria JI; Brown, George G; Cameron, Erin K; Cortet, Jérôme; Eisenhauer, Nico; Fujii, Saori; Geisen, Stefan; Gongalsky, Konstantin B; ",Global monitoring of soil animal communities using a common methodology,bioRxiv,,,2022.01. 11.475793,2022,Cold Spring Harbor Laboratory
"Guerra, Carlos A; Berdugo, Miguel; Eldridge, David J; Eisenhauer, Nico; Singh, Brajesh K; Cui, Haiying; Abades, Sebastian; Alfaro, Fernando D; Bamigboye, Adebola R; Bastida, Felipe; ",Global hotspots for soil nature conservation,Nature,610,7933,693-698,2022,Nature Publishing Group UK London
"Jaureguiberry, Pedro; Titeux, Nicolas; Wiemers, Martin; Bowler, Diana E; Coscieme, Luca; Golden, Abigail S; Guerra, Carlos A; Jacob, Ute; Takahashi, Yasuo; Settele, Josef; ",The direct drivers of recent global anthropogenic biodiversity loss,Science advances,8,45,eabm9982,2022,American Association for the Advancement of Science
"Eisenhauer, Nico; Bender, S Franz; Calderón‐Sanou, Irene; de Vries, Franciska T; Lembrechts, Jonas J; Thuiller, Wilfried; Wall, Diana H; Zeiss, Romy; Bahram, Mohammad; Beugnon, Rémy; ",Frontiers in soil ecology—Insights from the World Biodiversity Forum 2022,Journal of Sustainable Agriculture and Environment,1,4,245-261,2022,Wiley Online Library
"Delgado-Baquerizo, Manuel; Hu, Hang-Wei; Maestre, Fernando T; Guerra, Carlos A; Eisenhauer, Nico; Eldridge, David J; Zhu, Yong-Guan; Chen, Qing-Lin; Trivedi, Pankaj; Du, Shuai; ",The global distribution and environmental drivers of the soil antibiotic resistome,Microbiome,10,1,219,2022,Springer
"Maestre, Fernando T; Le Bagousse-Pinguet, Yoann; Delgado-Baquerizo, Manuel; Eldridge, David J; Saiz, Hugo; Berdugo, Miguel; Gozalo, Beatriz; Ochoa, Victoria; Guirado, Emilio; García-Gómez, Miguel; ",Grazing and ecosystem service delivery in global drylands,Science,378,6622,915-920,2022,American Association for the Advancement of Science
