Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Guerra, Carlos António; ",A spatially explicit framework to assess soil erosion prevention vulnerability: Contributions for ecosystem service mapping and management in Mediterranean land use systems,,,,,2015,Universidade de Evora (Portugal)

"Santos, Mário; Bastos, Rita; Vicente, Joana; Berger, Uta; Soares Filho, Britaldo Silveira; Rodrigues, Hermann; Alonso, Joaquim; Guerra, Carlos; Martins, João; Honrado, João; ",Anticipating invasions and managing impacts: a review of recent spatiotemporal modelling approaches,"Biological invasions in changing ecosystems: vectors, ecological impacts, management and predictions. Walter de Gruyter GmbH & Co KG, Berlin",,,389-410,2015,

"Pinto-Correia, T; Godinho, Sérgio; Guiomar, Nuno; Azeda, C; Guerra, Carlos; ",Dealing with highly fuzzy landscapes: how to assess High Nature Value Farmland in Mediterranean silvo-pastoral systems,,,,,2015,

"Pinto-Correia, T; Guiomar, Nuno; Guerra, Carlos A; Carvalho-Ribeiro, S; ",Assessing the ability of rural areas to fulfil multiple societal demands,Land Use Policy,53,,86-96,2016,Pergamon

"Vicente, Joana R; Alagador, Diogo; Guerra, Carlos; Alonso, Joaquim M; Kueffer, Christoph; Vaz, Ana S; Fernandes, Rui F; Cabral, Joao A; Araújo, Miguel B; Honrado, João P; ",Cost‐effective monitoring of biological invasions under global change: a model‐based framework,Journal of Applied Ecology,53,5,1317-1329,2016,

"Alonso, Joaquim; Martins, Ivone; Guerra, Carlos; Castro, Pedro; ",Spatial data quality assessment and WEBGIS institutional capacity building development,2013 8th Iberian Conference on Information Systems and Technologies (CISTI),,,1-6,2013,IEEE

"Honrado, João Pradinho; ",The BIO_SOS metadata geoportal and the external quality of pre-existing datasets,,,,,2011,

"Geijzendorffer, Ilse R; Cohen-Shacham, Emmanuelle; Cord, Anna F; Cramer, Wolfgang; Guerra, Carlos; Martín-López, Berta; ",Ecosystem services in global sustainability policies,Environmental Science & Policy,74,,40-48,2017,Elsevier

