Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Eldridge, David J; Guirado, Emilio; Reich, Peter B; Ochoa-Hueso, Raúl; Berdugo, Miguel; Sáez-Sandino, Tadeo; Blanco-Pastor, José L; Tedersoo, Leho; Plaza, César; Ding, Jingyi; ",The global contribution of soil mosses to ecosystem services,Nature Geoscience,16,5,430-438,2023,Nature Publishing Group UK London

"Eisenhauer, Nico; Angst, Gerrit; Asato, Ana EB; Beugnon, Rémy; Bönisch, Elisabeth; Cesarz, Simone; Dietrich, Peter; Jurburg, Stephanie D; Madaj, Anna-Maria; Reuben, Rine C; ",The heterogeneity–diversity–system performance nexus,National Science Review,10,7,nwad109,2023,Oxford University Press

"Siles, José A; Vera, Alfonso; Díaz-López, Marta; García, Carlos; van den Hoogen, Johan; Crowther, Thomas W; Eisenhauer, Nico; Guerra, Carlos; Jones, Arwyn; Orgiazzi, Alberto; ",Land-use-and climate-mediated variations in soil bacterial and fungal biomass across Europe and their driving factors,Geoderma,434,,116474,2023,Elsevier

"Eisenhauer, Nico; Bender, S Franz; Calderón‐Sanou, Irene; de Vries, Franciska T; Lembrechts, Jonas J; Thuiller, Wilfried; Wall, Diana H; Zeiss, Romy; Bahram, Mohammad; Beugnon, Rémy; ",Frontiers in soil ecology—Insights from the World Biodiversity Forum 2022,Journal of Sustainable Agriculture and Environment,1,4,245-261,2022,Wiley Online Library

"Cano-Díaz, Concha; Zeiss, Romy; Carvalho-Santos, Claudia; Carvalho, Rui P; Costa, Sofia R; Duarte, A Carolina; Fernandes, Paulo; Guerra, Carlos A; ",Mapping socio-environmental pressures to assess Portuguese soil vulnerability,Applied Geography,161,,103103,2023,Elsevier

"Gonzalez, Andrew; Vihervaara, Petteri; Balvanera, Patricia; Bates, Amanda E; Bayraktarov, Elisa; Bellingham, Peter J; Bruder, Andreas; Campbell, Jillian; Catchen, Michael D; Cavender-Bares, Jeannine; ",A global biodiversity observing system to unite monitoring and guide action,Nature ecology & evolution,7,12,1947-1952,2023,Nature Publishing Group UK London

"Duarte, A Carolina; Guerra, Carlos A; Cano-Díaz, Concha; Zeiss, Romy; Carvalho-Santos, Cláudia; Carvalho, Rui P; Costa, Sofia R; ",Effects of protected areas on soil nematode communities in forests of the North of Portugal,Biodiversity and Conservation,33,1,73-89,2024,Springer Netherlands Dordrecht

"Eisenhauer, Nico; Ochoa-Hueso, Raúl; Huang, Yuanyuan; Barry, Kathryn E; Gebler, Alban; Guerra, Carlos A; Hines, Jes; Jochum, Malte; Andraczek, Karl; Bucher, Solveig Franziska; ",Ecosystem consequences of invertebrate decline,Current Biology,33,20,4538-4547. e5,2023,Elsevier

"Zeiss, R; Briones, MJI; Mathieu, J; Lomba, A; Dahlke, J; Heptner, LF; Salako, G; Eisenhauer, N; Guerra, CA; ",Climate effects on the distribution and conservation of commonly observed European earthworms.,Conservation Biology: the Journal of the Society for Conservation Biology,,,,2023,

"Zeiss, Romy; Briones, Maria JI; Mathieu, Jérome; Lomba, Angela; Dahlke, Jessica; Heptner, Laura‐Fiona; Salako, Gabriel; Eisenhauer, Nico; Guerra, Carlos A; ",Effects of climate on the distribution and conservation of commonly observed European earthworms,Conservation Biology,38,2,e14187,2024,

"Delgado-Baquerizo, Manuel; Hu, Hang-Wei; Maestre, Fernando T; Guerra, Carlos A; Eisenhauer, Nico; Eldridge, David J; Zhu, Yong-Guan; Chen, Qing-Lin; Trivedi, Pankaj; Du, Shuai; ",The global distribution and environmental drivers of the soil antibiotic resistome,Microbiome,10,1,219,2022,Springer

"Hennecke, Justus; Bassi, Leonardo; Mommer, Liesje; Albracht, Cynthia; Bergmann, Joana; Eisenhauer, Nico; Guerra, Carlos A; Heintz‐Buschart, Anna; Kuyper, Thomas W; Lange, Markus; ",Responses of rhizosphere fungi to the root economics space in grassland monocultures of different age,New Phytologist,240,5,2035-2049,2023,Wiley Online Library

"Siles Martos, José Antonio; Vera Ayala, Alfonso; Díaz-López, Marta; García, Carlos; Hoogen, Johan van den; Crowther, Thomas Ward; Eisenhauer, Nico; Guerra, Carlos A; Jones, Arwyn; Orgiazzi, Alberto; ",Land-use-and climate-mediated variations in soil bacterial and fungal biomass across Europe and their driving factors,,,,,2023,Elsevier

"Chen, Zihao; Ni, Xiangyin; Patoine, Guillaume; Peng, Changhui; Yue, Kai; Yuan, Ji; Wu, Qiuxia; Eisenhauer, Nico; Guerra, Carlos A; Bol, Roland; ",Climate warming accelerates carbon release from foliar litter—A global synthesis,Global Change Biology,30,5,e17350,2024,Wiley Online Library

"Romero, Ferran; Labouyrie, Maeva; Orgiazzi, Alberto; Ballabio, Cristiano; Panagos, Panos; Jones, Arwyn; Tedersoo, Leho; Bahram, Mohammad; Guerra, Carlos A; Eisenhauer, Nico; ",Soil health increases primary productivity across Europe,bioRxiv,,,2023.10. 29.564603,2023,Cold Spring Harbor Laboratory

"Sünnemann, Marie; Beugnon, Remy; Breitkreuz, Claudia; Buscot, François; Cesarz, Simone; Jones, Arwyn; Lehmann, Anika; Lochner, Alfred; Orgiazzi, Alberto; Reitz, Thomas; ",Climate change and cropland management compromise soil integrity and multifunctionality,Communications Earth & Environment,4,1,394,2023,Nature Publishing Group UK London

"Maestre, Fernando T; Le Bagousse-Pinguet, Yoann; Delgado-Baquerizo, Manuel; Eldridge, David J; Saiz, Hugo; Berdugo, Miguel; Gozalo, Beatriz; Ochoa, Victoria; Guirado, Emilio; García-Gómez, Miguel; ",Grazing and ecosystem service delivery in global drylands,Science,378,6622,915-920,2022,American Association for the Advancement of Science

"Pereira, Henrique M; Martins, Inês S; Rosa, Isabel MD; Kim, HyeJin; Leadley, Paul; Popp, Alexander; van Vuuren, Detlef P; Hurtt, George; Quoss, Luise; Arneth, Almut; ",Global trends and scenarios for terrestrial biodiversity and ecosystem services from 1900 to 2050,Science,384,6694,458-465,2024,American Association for the Advancement of Science

"Rounsevell, Mark; Fischer, Markus; Torre-Marin Rando, Maria; Mader, André; ",The IPBES regional assessment report on biodiversity and ecosystem services for Europe and Central Asia,,,,,2018,Secretariat of the Intergovernmental Science-Policy Platform on Biodiversity …

